Query.Mass,Matched.Compound,Matched.Form,Mass.Diff
209.04516,C00345,M-HCOONa+H[1+],0.000683533229960176
199.00067,C00322,M+K[1+],0.000693533229991772
199.00067,C06055,M-NH3+H[1+],0.000393533230010235
232.05915,C16591,M+Na[1+],0.00107353322997028
148.99822,C00186,M+NaCl[1+],0.000643533230004323
148.99822,C00577,M+NaCl[1+],0.000643533230004323
148.99822,C01013,M+NaCl[1+],0.000643533230004323
148.99822,C00184,M+NaCl[1+],0.000643533230004323
148.99822,C00256,M+NaCl[1+],0.000643533230004323
221.0665,C00835,M-NH3+H[1+],0.00047646677001012
221.0665,C03684,M-NH3+H[1+],0.00047646677001012
221.0665,C16741,M+NaCl[1+],0.000223533229984696
241.11899,C00449,M-H4O2+H[1+],0.00081353323000144
149.02675,C01180,M+H[1+],7.35332299939273e-05
152.99473,C00111,M-H2O+H[1+],5.35332300160007e-05
152.99473,C00118,M-H2O+H[1+],5.35332300160007e-05
172.0969,C03758,M+H2O+H[1+],2.35332299780566e-05
96.96827,C00074,M-C3H4O2+H[1+],0.000306466769998792
145.08579,C01035,M[1+],0.000689999999991642
145.08579,C01107,M-HCOOK+H[1+],8.64667700000155e-05
116.07041,C00077,M-NH3+H[1+],0.000266466770000306
116.07041,C00148,M+H[1+],0.000166466769996987
116.07041,C00763,M+H[1+],0.000166466769996987
116.07041,C00515,M-NH3+H[1+],0.000266466770000306
116.07041,C00956,M-HCOOH+H[1+],0.000266466770000306
224.09256,C01132,M(S34)+H[1+],0.000416466770019497
224.09256,C00140,M(S34)+H[1+],0.000416466770019497
224.09256,C00645,M(S34)+H[1+],0.000416466770019497
224.09256,C05660,M+H2O+H[1+],0.000783533229963496
176.05562,C01042,M+H[1+],0.000243533229991044
176.05562,C14871,M(C13)+2H[2+],0.000556466770007091
176.05562,C02220,M+H2O+H[1+],0.000243533229991044
82.95267,C00011,M+K[1+],9.35332300002756e-05
116.07009,C00148,M+H[1+],0.000486466769999083
116.07009,C00763,M+H[1+],0.000486466769999083
144.04438,C05637,M-H2O+H[1+],3.53323000013006e-06
144.04438,C05639,M-H2O+H[1+],3.53323000013006e-06
144.04438,C14800,M-HCOOH+H[1+],9.64667700031896e-05
144.04438,C14802,M-HCOOH+H[1+],9.64667700031896e-05
194.08107,C16587,M+H[1+],0.000106466770006364
194.08107,C16595,M+H[1+],0.000106466770006364
194.08107,C07481,M[1+],0.000670000000013715
194.08107,C00954,M+H2O+H[1+],0.000106466770006364
194.08107,C05634,M+H2O+H[1+],0.000106466770006364
259.24311,C00249,M(S34)+H[1+],0.000166466769996987
259.24311,C00219,M-HCOOH+H[1+],0.00103353322998601
259.24311,C00473,M-CO+H[1+],0.00113353323001775
259.24311,C00899,M-CO+H[1+],0.00113353323001775
259.24311,C16682,M-CO+H[1+],0.00113353323001775
259.24311,C06428,M-CO2+H[1+],0.00103353322998601
96.95879,C05528,M-C3H4O2+H[1+],0.000286466770006655
130.06508,C15522,M(C13)+2H[2+],9.64667700031896e-05
130.06508,C00079,M-H4O2+H[1+],3.53322997170835e-06
130.06508,C00954,M-HCOOH+H[1+],9.64667700031896e-05
130.06508,C05634,M-HCOOH+H[1+],9.64667700031896e-05
130.06508,C14040,M-CO2+H[1+],9.64667700031896e-05
88.03894,C02218,M+H[1+],0.000336466769994104
88.03894,C00049,M-HCOOH+H[1+],0.000436466769983213
88.03894,C00402,M-HCOOH+H[1+],0.000436466769983213
88.03894,C02362,M-CO2+H[1+],0.000436466769983213
88.03894,C00065,M-H2O+H[1+],0.000336466769994104
88.03894,C00740,M-H2O+H[1+],0.000336466769994104
