"p.value","m.z","t.score"
0,225.07611,0
0,73.02806,0
0,193.04976,0
0,212.97893,0
0,236.09244,0
0,239.07689,0
0,121.02839,0
0,179.0013,0
0,192.06579,0
0,245.08272,0
0,194.08956,0
0,75.0073,0
0,264.08819,0
0,243.15479,0
0,193.05004,0
0,269.05682,0
0,269.09379,0
0,173.08108,0
0,118.92554,0
0,223.09726,0
0,228.1318,0
0,242.17599,0
0,260.03914,0
0,146.06563,0
0,209.0662,0
0,223.09718,0
0,124.03917,0
0,226.05399,0
0,229.08663,0
0,135.03016,0
0,213.18548,0
0,108.04414,0
0,121.02833,0
0,132.06557,0
0,160.03952,0
0,267.12169,0
0,142.05001,0
0,265.07175,0
0,175.09657,0
0,239.57666,0
0,229.10783,0
0,118.04982,0
0,118.93169,0
0,244.08449,0
0,261.07462,0
0,267.12398,0
0,121.02836,0
0,136.07561,0
0,245.09295,0
0,258.97999,0
0,224.09782,0
0,269.10306,0
0,224.05613,0
0,144.99825,0
0,188.07094,0
0,113.02315,0
0,223.01418,0
0,99.0438,0
0,176.03442,0
0,125.05969,0
0,192.06584,0
0,223.1334,0
0,240.07539,0
0,186.11263,0
0,152.99472,0
0,179.05532,0
0,110.02363,0
0,214.07005,0
0,244.96415,0
0,119.04906,0
0,200.12857,0
0,118.92569,0
0,197.08134,0
0,133.01304,0
0,239.1285,0
0,99.9244165,0
0,227.03511,0
0,201.07636,0
0,122.05993,0
0,159.06532,0
0,271.15021,0
0,247.08291,0
0,255.63077,0
0,162.05494,0
0,227.09222,0
0,127.00014,0
0,102.98728,0
0,128.04947,0
0,256.13262,0
0,204.06633,0
0,177.03944,0
0,231.05069,0
0,196.04879,0
0,206.08171,0
0,173.11743,0
0,117.92756,0
0,118.02141,0
0,242.07269,0
0,257.12977,0
0,191.0707,0
0,124.00277,0
0,176.03797,0
0,138.05509,0
0,256.08273,0
0,244.09794,0
0,254.57424,0
0,204.06913,0
0,213.07164,0
0,146.95928,0
0,185.10752,0
0,199.06066,0
0,236.09246,0
0,193.04996,0
0,114.05485,0
0,271.02031,0
0,257.10304,0
0,243.1964,0
0,164.98547,0
0,144.0443832,0
0,255.11442,0
0,254.10338,0
0,258.03853,0
0,269.17609,0
0,255.23281,0
0,119.03373,0
0,260.1071,0
0,269.04628,0
0,136.03928,0
0,245.10293,0
0,251.2017,0
0,203.07072,0
0,216.09839,0
0,80.96383,0
0,85.06443,0
0,122.02356,0
0,199.06049,0
0,238.10834,0
0,239.1287,0
0,271.19128,0
0,114.9328,0
0,211.16981,0
0,204.05086,0
0,131.0701,0
0,233.1545,0
0,229.09804,0
0,114.9328367,0
0,135.04398,0
0,135.93511,0
0,153.09104,0
0,191.03591,0
0,196.0609,0
0,241.12228,0
0,255.08864,0
0,262.07013,0
0,261.16002,0
0,164.0707,0
0,172.09702,0
0,208.09734,0
0,158.08118,0
0,94.02841,0
0,211.1335,0
0,143.07011,0
0,237.0768,0
0,250.07225,0
0,264.92756,0
0,269.21241,0
0,208.06107,0
0,203.12819,0
0,253.09295,0
0,243.12355,0
0,125.02322,0
0,256.05932,0
0,259.11899,0
0,247.11887,0
0,184.06083,0
0,189.07589,0
0,198.07621,0
0,116.92745,0
0,174.95547,0
0,136.06135,0
0,206.04897,0
0,203.03199,0
0,209.15407,0
0,121.02835,0
0,182.04451,0
0,136.96324,0
0,128.07054,0
0,265.14806,0
0,236.09593,0
0,215.08599,0
0,194.90508,0
0,268.08297,0
0,173.08111,0
0,213.14893,0
0,181.01671,0
0,227.10347,0
0,231.09791,0
0,245.09422,0
0,79.95596,0
0,233.5685,0
0,265.00325,0
0,253.21729,0
0,243.0631,0
0,190.92791,0
0,262.05736,0
0,129.05452,0
0,211.13349,0
0,135.96987,0
0,227.02261,0
0,176.03455,0
0,150.0412,0
0,123.04385,0
0,187.00896,0
0,183.04863,0
0,185.08102,0
0,231.07722,0
0,246.14249,0
0,212.05608,0
0,250.09325,0
0,181.05962,0
0,262.16449,0
0,119.01604,0
0,231.55279,0
0,249.06185,0
0,109.02836,0
0,188.09192,0
0,253.08055,0
0,188.0099,0
0,186.06755,0
0,74.02331,0
0,102.05474,0
0,173.08124,0
0,187.07151,0
0,257.08205,0
0,265.12766,0
0,113.05959,0
0,151.0392,0
0,257.17583,0
0,163.06012,0
0,266.10898,0
0,267.08747,0
0,78.95758,0
0,261.08855,0
0,87.04369,0
0,227.20136,0
0,241.14401,0
0,91.05387,0
0,265.1481,0
0,119.04904,0
0,248.958,0
