p.value,m.z,t.score,pos_inx
0,225.11258,0,1
0,177.01863,0,1
0,179.0343,0,1
0,183.13828,0,1
0,219.02718,0,1
0,160.06049,0,1
0,154.06121,0,1
0,241.10812,0,1
0,238.10827,0,1
0,107.04893,0,1
0,117.92745,0,1
0,241.18066,0,1
0,255.11443,0,1
0,243.15994,0,1
0,248.05643,0,1
0,220.09757,0,1
0,255.10215,0,1
0,205.05017,0,1
0,149.9935,0,1
0,168.98824,0,1
0,246.08316,0,1
0,116.92741,0,1
0,232.07707,0,1
0,216.96844,0,1
0,189.07638,0,1
0,229.10785,0,1
0,203.08214,0,1
0,240.07491,0,1
0,167.03421,0,1
0,118.91708,0,1
0,117.92743,0,1
0,267.19674,0,1
0,247.17032,0,1
0,99.92442,0,1
0,258.07734,0,1
0,163.07538,0,1
0,208.06111,0,1
0,253.07591,0,1
0,172.0065,0,1
0,209.08138,0,1
0,134.04613,0,1
0,143.04499,0,1
0,93.03316,0,1
0,158.93795,0,1
0,178.07092,0,1
0,117.03356,0,1
0,195.03682,0,1
0,165.05474,0,1
0,166.05003,0,1
0,155.10672,0,1
0,165.01838,0,1
0,225.09582,0,1
0,171.06542,0,1
0,254.07039,0,1
0,118.96816,0,1
0,180.03272,0,1
0,194.90503,0,1
0,116.92729,0,1
0,223.13361,0,1
0,127.07533,0,1
0,207.05029,0,1
0,259.11892,0,1
0,222.99181,0,1
0,230.08215,0,1
0,220.06121,0,1
0,240.07511,0,1
0,215.12847,0,1
0,107.02378,0,1
0,271.19141,0,1
0,151.07533,0,1
0,241.10819,0,1
0,163.03924,0,1
0,246.13396,0,1
0,262.07005,0,1
0,269.17591,0,1
0,205.15907,0,1
0,265.14791,0,1
0,271.08266,0,1
0,137.05968,0,1
0,159.0653227,0,1
0,171.10174,0,1
0,215.16474,0,1
0,201.13186,0,1
0,205.07102,0,1
0,245.08478,0,1
0,117.92746,0,1
0,243.1963,0,1
0,199.16965,0,1
0,239.0595,0,1
0,158.97749,0,1
0,271.06327,0,1
0,225.06918,0,1
0,101.0594767,0,1
0,180.03273,0,1
0,241.08299,0,1
0,181.12258,0,1
0,239.11217,0,1
0,248.09739,0,1
0,240.2048,0,1
0,229.14416,0,1
0,269.06746,0,1
0,125.09604,0,1
0,181.06089,0,1
0,249.18592,0,1
0,269.21235,0,1
0,149.0597,0,1
0,220.0223,0,1
0,234.07703,0,1
0,207.0657,0,1
0,129.97467,0,1
0,175.0966,0,1
0,255.23286,0,1
0,262.07003,0,1
0,143.07023,0,1
0,187.13314,0,1
0,114.9328362,0,1
0,137.05976,0,1
0,164.92636,0,1
0,157.08597,0,1
0,169.04966,0,1
0,238.07193,0,1
0,269.2123582,0,1
0,145.04962,0,1
0,153.01811,0,1
0,153.01831,0,1
0,175.06043,0,1
0,206.08153,0,1
0,210.05326,0,1
0,241.18078,0,1
0,267.07371,0,1
0,265.10577,0,1
0,98.02336,0,1
0,232.11803,0,1
0,251.07745,0,1
0,243.08098,0,1
0,211.06089,0,1
0,188.97113,0,1
0,135.04407,0,1
0,172.06071,0,1
0,214.0581,0,1
0,248.05622,0,1
0,235.08184,0,1
0,271.09551,0,1
0,258.11395,0,1
0,117.92749,0,1
0,199.097,0,1
0,269.04622,0,1
0,116.9274164,0,1
0,224.09251,0,1
0,211.05258,0,1
0,152.07069,0,1
0,231.55299,0,1
0,240.08747,0,1
0,121.06467,0,1
0,114.9328286,0,1
0,241.14427,0,1
0,156.06547,0,1
0,261.07522,0,1
0,187.09688,0,1
0,116.92731,0,1
0,197.04493,0,1
0,271.15548,0,1
0,198.14928,0,1
0,179.03417,0,1
0,106.04113,0,1
0,160.03951,0,1
0,201.04029,0,1
0,208.96054,0,1
0,227.12856,0,1
0,269.24879,0,1
0,227.12815,0,1
0,195.06571,0,1
0,116.0494,0,1
0,109.00305,0,1
0,255.23312,0,1
0,226.08013,0,1
0,266.10362,0,1
0,214.14435,0,1
0,216.03304,0,1
0,267.12379,0,1
0,231.12319,0,1
0,265.14803,0,1
0,254.10319,0,1
0,216.08766,0,1
0,168.0423,0,1
0,186.11278,0,1
0,270.09849,0,1
0,271.22795,0,1
0,117.92741,0,1
0,153.05473,0,1
0,183.1018,0,1
0,266.00502,0,1
0,161.05989,0,1
0,197.11762,0,1
0,257.11461,0,1
0,165.05473,0,1
0,257.09309,0,1
0,116.9273138,0,1
0,118.03681,0,1
0,123.03149,0,1
0,96.95865,0,1
0,183.13817,0,1
0,217.0479,0,1
0,237.06083,0,1
0,248.97339,0,1
0,183.0919,0,1
0,109.00308,0,1
0,141.01563,0,1
0,140.06191,0,1
0,257.16581,0,1
0,184.99073,0,1
0,158.06013,0,1
0,249.14956,0,1
0,111.00751,0,1
0,150.05494,0,1
0,153.05481,0,1
0,218.06653,0,1
0,251.05645,0,1
0,135.0440319,0,1
0,254.10048,0,1
0,245.56462,0,1
0,203.05592,0,1
0,214.07071,0,1
0,181.08617,0,1
0,142.04113,0,1
0,187.00391,0,1
0,236.09589,0,1
0,259.19139,0,1
0,261.03454,0,1
0,171.10171,0,1
0,200.09223,0,1
0,243.07836,0,1
0,98.97259,0,1
0,111.08031,0,1
0,116.97121,0,1
0,158.08122,0,1
0,200.09219,0,1
0,228.03823,0,1
0,241.21683,0,1
0,209.08162,0,1
0,105.95913,0,1
0,169.07615,0,1
0,203.1281936,0,1
0,149.99333,0,1
0,248.1291,0,1
0,141.01578,0,1
0,116.92727,0,1
0,139.05806,0,1
0,240.07482,0,1
0,233.06674,0,1
0,187.03684,0,1
0,248.09278,0,1
0,117.05463,0,1
0,209.0815,0,1
0,217.10712,0,1
0,211.13343,0,1
0,99.04382,0,1
0,200.10049,0,1
0,271.1917,0,1
0,214.10801,0,1
0,117.9274475,0,1
0,239.20135,0,1
0,253.10798,0,1
0,107.04896,0,1
0,159.10157,0,1
0,212.03251,0,1
0,180.06567,0,1
0,182.98786,0,1
0,213.11253,0,1
0,235.09757,0,1
0,265.21734,0,1
0,254.07237,0,1
0,213.09196,0,1
0,228.06964,0,1
0,253.05077,0,1
0,202.10713,0,1
0,242.1396,0,1
0,255.11495,0,1
0,257.02815,0,1
0,215.09225,0,1
0,257.17564,0,1
0,269.13934,0,1
0,243.12325,0,1
0,115.98833,0,1
0,174.95536,0,1
0,230.13949,0,1
0,249.11089,0,1
0,227.12855,0,1
0,228.13126,0,1
0,171.04015,0,1
0,245.093,0,1
0,151.00269,0,1
0,197.08133,0,1
0,229.08277,0,1
0,240.13205,0,1
0,132.04438,0,1
0,153.09105,0,1
0,195.06585,0,1
0,255.11865,0,1
0,247.00364,0,1
0,271.15484,0,1
0,252.03384,0,1
0,155.00098,0,1
0,195.13822,0,1
0,209.07905,0,1
0,116.9273189,0,1
0,186.11277,0,1
0,121.06475,0,1
0,225.07645,0,1
0,268.10943,0,1
